,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47
plant1,0,7.3,0,3.6,0,1,0,0,2,0,0.05,1,0.34,0,0,0,13,3,3,63,0,1,8.96,0,7,0,0,2.82,2,2.87,0,0,0,6,0,80.87,0,0,12.64,3,14.33,4,12,0,32.88,0.09,0
plant2,0,0,0,0,0,1,3.7,0,1,0,0,0,19.56,0,0,0,14,2,0,123,0,8,4.61,1,18,0,0,3.72,1,2.7,1,1,0,1,0,77.5,0,0,0,4,95.14,2,0,0,35.45,12.79,0
plant3,0,0,0,0,0,0,0,1.8,1,1.24,3.59,0,0,0,0,0,9,0,35,29,1,5,7,1,21,10.54,14.57,3.52,4,0,4,0,0,3,0,33.62,0,0,0,3,0,8,2,1,40.67,0,0
plant4,0,0,0,2.2,0,0,0.21,0,4,0,0,1,14.03,0,3.3,0,27,1,10.8,16,0,5,3,1,12,0,0,2.96,4,0,0,0,0,3,0,51.75,0,0,0,3,0,3,0,1,53.12,22.68,2
plant5,0,0,0,0,0,1.98,3.16,0,4.01,0,9.62,0,0.07,0,0,0,4.79,0,5.63,35,0,6,4,0,8,0,0,4.62,5,0.32,0,0,0,0,0,77.55,0,2,0,2,0,3,8,0,31.64,8.44,0
plant6,0,0,0,0,0,0,3.55,0,4,0,0.22,0,0,0,1.47,0,0,0,33,43,0,5,5.79,0,12,0,0,2.4,1,0,1,0,0,4,0,43.92,0,0,0,3,0,2,9,0,47.83,14.9,0
plant7,0,0,0,0,0,3.64,0,0,3,0,0.03,0,6.21,0,0,0,9,1,1,46,0,2,14,0,6,7,0,4.21,4,0.14,0,0,1,1,0,81.88,0,2,0,0,0,10,11,0,24.81,34.67,0
plant8,0.02,0.34,0,0,0,0,0,0,4,0,16.12,1,17.13,7.49,0,0,8,0,6.3,48,0,3,6.83,0,19,0,0,0,3,7.39,0,0,0,9,0,46.61,0,2,22.67,5,29.03,1,8,0,49.37,16.06,0
plant9,1.43,1.75,0,0,0,0,28.81,0,1,0,13.83,0,5.33,0,0,0,13,0,0,30,0,5,6.23,1,9,0,0,3.78,3,0,0,2,1,4,0,37.95,0,0,0,4,0,4,1,0,31.77,30.96,0
plant10,0,0,0,1,0,0,0,0,3,0,1.49,0,5.91,0,8.78,0,6,1,10,50,0,12,1.28,1,19,13.36,0,2.62,5,0,0,0,1,3,0,35.22,0,0,0,1,0,4,15,0,44.3,0,0
plant11,0,0,0,5.89,0,2.58,0,0,3,0,29.42,1,0,0,0,1,38,0,6,180,0,4,3.17,0,21,6.68,0,1.29,3,0,0,0,1,0,0,63.36,0,0,0,3,4.28,2,13,0,14.94,28,1
plant12,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,12,0,0,28,0,0,10.74,2,12,12.87,0,4.6,4,0,1,0,0,5.94,0,47.39,0,0,0,4,0,3,5,0,41.65,28.24,0
plant13,2.11,0,0,0,0,1.65,0,0,0,1.43,0,0,0.2,3.29,0,1,3,0,1,50,0,3,11,0,6,0,0,1.78,2,0,0,0,0,1,0,71.19,0,1,0,7,0,3,0,0,30.76,16.34,0
plant14,0,0,0,2,0,0,0,0,7,0,27.68,2,0,0.96,7.55,0,37,6,5,316.2,0,3,12.49,0,2,0,0,0,8,5.5,1.34,0,0,2,0,117.77,0,2,0,5,60.24,6,17,0,26.36,56.92,0
plant15,0,0,0,0,0,2,0.94,0,0,0,0,0,0,0,5.19,0,8,0,5.19,18,0,4,2,0,6,13.78,0,4,3,13.75,1,0,0,1,0,46.72,0,0,0,4,0,1,10,0,24.51,47.7,0
plant16,0,0,0,1,0,0,0,0,1,0,7.41,0,11.42,2.73,0,0,7,2,0,12,0,2,1.42,0,9,0,0,2,4,2.74,0,0,0,1,0,37.59,0,1,0,2,0,2,3,1,23.35,0,0
plant17,0,1.95,0,0,0,2.05,7.72,0,3,0,0,0,0,0,0,1,8,0,4,81,0,8,5.5,0,3,0,0,0,3,0.01,0,0,0,1,0,53.64,0,0,0,1,0,0,6,1,36.8,16.54,0
plant18,0,0,0,0,0,0,0.01,0,6,0,0,0,0,0.02,5,0,19,3,0,86,0,8,9,0,9,13.01,0,4.49,3,9.85,0,0,1,0,0,127.17,0,2,0,5,10.66,1,0,0,61.24,0,1
plant19,0,3.53,0,0,0,0,0,0,3,0,0.5,0,0,0,1.23,0,4,1,9,40,0,0,3.37,1,0,0,0,1.38,6,0,1,0,0,3,0,123.12,0,0,0,2,0,8,4,0,32.49,45.58,0
