,Trait
plant1,26.84
plant2,26.92
plant3,26.67
plant4,30.14
plant5,28.87
plant6,28.28
plant7,31.41
plant8,29.55
plant9,34.29
plant10,27.60
plant11,28.62
plant12,29.80
plant13,25.15
plant14,25.32
plant15,32.34
plant16,28.11
plant17,30.31
plant18,23.88
plant19,28.45
plant20,25.15
plant21,28.70
plant22,27.77
plant23,30.99
plant24,29.29
plant25,29.21
plant26,31.24
plant27,25.74
plant28,27.09
plant29,27.26
plant30,28.36
plant31,30.06
plant32,28.70
plant33,30.23
plant34,28.19
plant35,26.84
plant36,26.92
plant37,30.90
plant38,28.87
plant39,28.96
plant40,28.53
plant41,25.32
plant42,27.18
plant43,32.43
plant44,27.86
plant45,27.60
plant46,30.65
plant47,31.83
plant48,29.63
plant49,29.89
plant50,30.73
plant51,27.77
plant52,27.01
plant53,26.75
plant54,31.83
plant55,27.52
plant56,23.03
plant57,30.65
plant58,28.11
plant59,27.01
plant60,28.62
plant61,28.70
plant62,28.02
plant63,31.33
plant64,29.80
plant65,29.55
plant66,30.14
plant67,29.29
plant68,28.45
plant69,30.23
plant70,28.36
plant71,29.34
plant72,27.43
plant73,32.68
plant74,28.87
plant75,27.35
plant76,31.50
plant77,28.96
plant78,24.13
plant79,33.02
plant80,33.70
plant81,28.96
plant82,29.38
plant83,32.00
plant84,30.31
plant85,31.83
plant86,26.33
plant87,30.14
plant88,26.67
plant89,29.63
plant90,29.89
plant91,26.80
plant92,34.80
plant93,25.15
plant94,27.94
plant95,29.38
plant96,29.72
plant97,29.55
plant98,30.56
plant99,28.87
plant100,30.31
